OBJECTID,IDPTOVENTA,Municipio,Provincia,Código_Po,Dirección,Latitud,Longitud
2621,FB_0289DF,Ajalvir,MADRID,28864,"CL LA FUENTE, 4",40.53527,-3.4814
2622,FB_029B23,Alameda de la Sagra,TOLEDO,45240,"CL CHARCAS, 6",40.01093,-3.79633
2623,FB_03974B,Alameda del Valle,MADRID,28749,"CL NUEVA, 6",40.92198,-3.68744
2624,FB_028A48,"Álamo, El",MADRID,28607,CL SOLEDAD 8,40.23159,-3.98873
2625,FB_038EDA,Albares,GUADALAJARA,19112,"CL SAN SEBASTIAN, 5",40.30804,-3.0127
2626,FB_0356A6,Alcalá de Henares,MADRID,28801,"CL TORRELAGUNA, 22 (KIOSCO)",40.48905,-3.37405
2627,FB_03825F,Alcalá de Henares,MADRID,28801,"CL MAYOR, 37",40.48215,-3.36672
2628,FB_038473,Alcalá de Henares,MADRID,28801,"PL CERVANTES, 29",40.48331,-3.36475
2629,FB_039322,Alcalá de Henares,MADRID,28801,"CL MAYOR, 90",40.48172,-3.3677
2630,FB_033EEE,Alcalá de Henares,MADRID,28801,"CL CERVANTES, 1",40.48295,-3.36561
2631,FB_037D82,Alcalá de Henares,MADRID,28802,"CL SAN ASTURIO SERRANO, 11",40.47519,-3.38018
2632,FB_034C03,Alcalá de Henares,MADRID,28802,"AV REYES CATOLICOS, 42",40.47376,-3.37841
2633,FB_0351C8,Alcalá de Henares,MADRID,28802,"AVDA. REYES CAT?LICOS, 46",40.47384,-3.37853
2634,FB_03367F,Alcalá de Henares,MADRID,28802,"CL SAN FRUCTUOSO, 12",40.4769,-3.37735
2635,FB_038E65,Alcalá de Henares,MADRID,28802,"CL NTRA. SRA DE BELEN, 28",40.47634,-3.38383
2636,FB_038B03,Alcalá de Henares,MADRID,28803,"CL ENTREPE?AS,S/N LOC-130",40.46992,-3.36472
2637,FB_035694,Alcalá de Henares,MADRID,28803,"CL ENTREPE?AS, 4 LOCAL 111",40.46981,-3.36326
2638,FB_037E7E,Alcalá de Henares,MADRID,28803,"AV REYES CATOLICOS, 3",40.47809,-3.37288
2639,FB_038DE9,Alcalá de Henares,MADRID,28803,"CL RIO MANZANARES, 2",40.47338,-3.36455
2640,FB_03674E,Alcalá de Henares,MADRID,28803,"CL SAN VIDAL, 30",40.47216,-3.3725
2641,FB_03884C,Alcalá de Henares,MADRID,28803,"CL RIO MANZANARES, 3",40.47327,-3.36422
2642,FB_0386EF,Alcalá de Henares,MADRID,28803,"CL LOS MOLINOS, 7",40.47631,-3.36741
2643,FB_0289E7,Alcalá de Henares,MADRID,28804,"CL SAN MARCOS, 7 ESQ. CL PUENTE RIA",40.4785,-3.36251
2644,FB_037113,Alcalá de Henares,MADRID,28804,"AV VIRGEN DEL VAL, 11",40.48267,-3.3522
2645,FB_03466E,Alcalá de Henares,MADRID,28804,"CL LOPE DE FIGUEROA, 31",40.48611,-3.3515
2646,FB_03556D,Alcalá de Henares,MADRID,28804,"CL CUENCA, S/N LOCAL 11",40.48595,-3.33999
2647,FB_029B4F,Alcalá de Henares,MADRID,28805,"CL TENIENTE RUIZ, 2",40.48481,-3.36065
2648,FB_034993,Alcalá de Henares,MADRID,28805,"CTRA. ALCALA-MECO, S/N",40.54038,-3.33479
2649,FB_033724,Alcalá de Henares,MADRID,28805,"CL MARQUES ALONSO MTNEZ., 6",40.48572,-3.35783
2650,FB_033DDA,Alcalá de Henares,MADRID,28805,"CL BARBERAN Y COLLAR, S/N",40.50019,-3.34609
2651,FB_0298D5,Alcalá de Henares,MADRID,28805,"CL PIO BAROJA, 11 B LOCAL 2",40.50843,-3.36428
2652,FB_029378,Alcalá de Henares,MADRID,28805,"PL CARLOS I, 1",40.48822,-3.35553
2653,FB_038A6C,Alcalá de Henares,MADRID,28805,"AV CABALLERIA ESPA?OLA, 10",40.48846,-3.35978
2654,FB_035693,Alcalá de Henares,MADRID,28805,"AV GUADALAJARA, 14",40.48607,-3.35979
2655,FB_0361B5,Alcalá de Henares,MADRID,28805,"CL VIA COMPLUTENSE, 91",40.48885,-3.35599
2656,FB_037283,Alcalá de Henares,MADRID,28806,"CL BELVIS DEL JARAMA, 3 LOCAL 4",40.4926,-3.36365
2657,FB_038B6B,Alcalá de Henares,MADRID,28806,"CL JOSE MARIA PEREDA, 11",40.49031,-3.35916
2658,FB_0390CA,Alcalá de Henares,MADRID,28806,"CR AJALVIR, 4",40.4898,-3.38019
2659,FB_0289DC,Alcalá de Henares,MADRID,28806,"CL ALCOR, 8 (TORRE A)",40.48944,-3.37183
2660,FB_0353B0,Alcalá de Henares,MADRID,28806,"CL JORGE LUIS BORGES, 25",40.49628,-3.37416
2661,FB_035552,Alcalá de Henares,MADRID,28807,"CL INFANTADO, 3",40.48777,-3.36814
2662,FB_0380D2,Alcalá de Henares,MADRID,28807,"CL PASEO DE LA ESTACION, 2",40.48869,-3.36667
2663,FB_0397B7,Alcalá de Henares,MADRID,28807,"CL FERRAZ, 15",40.48921,-3.36199
2664,FB_02ACFF,Alcobendas,MADRID,28100,"CL MARQUES DE LA VALDAVIA, 72",40.54349,-3.64052
2665,FB_034CBC,Alcobendas,MADRID,28100,"CONJUNTO AVENIDA, 6 L-7",40.54743,-3.64641
2666,FB_028A5A,Alcobendas,MADRID,28100,"CL ISABEL ROSILLO, 10",40.54292,-3.63569
2667,FB_03587F,Alcobendas,MADRID,28100,"PZ FELIPE ALVAREZ GADEA, 8",40.54091,-3.63257
2668,FB_035343,Alcobendas,MADRID,28100,"CL RUPERTO CHAPI, 55",40.54848,-3.64253
2669,FB_039467,Alcobendas,MADRID,28100,"AV DE ESPA?A, 6",40.54388,-3.64317
2670,FB_029854,Alcobendas,MADRID,28100,"CL MARQUES DE VALDAVIA, 123",40.54689,-3.65622
2671,FB_038A17,Alcobendas,MADRID,28100,"CL CONSTITUCION, 114",40.54849,-3.64595
2672,FB_029E09,Alcobendas,MADRID,28100,"CL CEUTA, 12",40.53967,-3.63711
2673,FB_029FF6,Alcobendas,MADRID,28100,"PS CHOPERA, 110",40.54482,-3.64715
2674,FB_03830E,Alcobendas,MADRID,28100,"CL MARQUES DE LA VALDAVIA, 46",40.54219,-3.63942
2675,FB_02ACCB,Alcobendas,MADRID,28100,"CL MARQUESA VDA. ALDAMA,19",40.54167,-3.63164
2676,FB_0389F5,Alcobendas,MADRID,28109,"PLAZA DE LA MORALEJA, S/N",40.51557,-3.65123
2677,FB_028A6E,Alcobendas,MADRID,28109,"PS ALCOBENDAS, 10 (BULEVAR)",40.5265,-3.62043
2678,FB_029326,Alcorcón,MADRID,28921,"AV CARABANCHELES, 21",40.35136,-3.82523
2679,FB_0294CC,Alcorcón,MADRID,28921,"CL MAYOR, 4",40.34861,-3.82795
2680,FB_034110,Alcorcón,MADRID,28921,"CL POLVORANCA, 52",40.34447,-3.8235
2681,FB_0360D9,Alcorcón,MADRID,28921,"CL BADAJOZ, 12",40.34757,-3.83096
2682,FB_02A994,Alcorcón,MADRID,28922,"AV RETAMAS, 20",40.33727,-3.83184
2683,FB_03968C,Alcorcón,MADRID,28922,"AVDA LAS RETAMAS, 54 LOCAL 3B",40.34698,-3.82651
2684,FB_0372A5,Alcorcón,MADRID,28922,"CL LIVERPOOL, 1 LOCAL 5",40.35415,-3.83061
2685,FB_028A28,Alcorcón,MADRID,28922,"CL MAYOR, 70",40.34457,-3.82776
2686,FB_029388,Alcorcón,MADRID,28922,"CL VALLADOLID, 14",40.34177,-3.82964
2687,FB_028A2C,Alcorcón,MADRID,28923,"CL POLVORANCA, 66",40.34217,-3.81974
2688,FB_028A2A,Alcorcón,MADRID,28923,"CL SAPPORO, 22",40.3447,-3.81458
2689,FB_029ACE,Alcorcón,MADRID,28923,"PL SIERRA DE GREDOS, 2",40.34779,-3.82176
2690,FB_028A29,Alcorcón,MADRID,28924,"CL PORTO CRISTO, 2",40.35279,-3.8201
2691,FB_03719C,Alcorcón,MADRID,28924,"AV LISBOA, 8",40.35329,-3.81883
2692,FB_037EBC,Alcorcón,MADRID,28924,"CL PORTO CRISTO, 9-POST",40.35091,-3.81686
2693,FB_038801,Alcorcón,MADRID,28924,"CL TIMANFAYA, 14",40.34753,-3.81122
2694,FB_034C74,Alcorcón,MADRID,28925,"PL CONSTITUCION, 29",40.35385,-3.81242
2695,FB_034AAF,Alcorcón,MADRID,28925,"AV VILLAVICIOSA, S/N",40.35163,-3.83327
2696,FB_038725,Alcorcón,MADRID,28925,"CL VENUS, 13",40.35296,-3.80911
2697,FB_028A46,Aldea del Fresno,MADRID,28620,"CR DE MADRID, 11",40.32402,-4.20434
2698,FB_03515C,Algete,MADRID,28110,"CL LA PALOMA, 13",40.59746,-3.49799
2699,FB_029897,Algete,MADRID,28110,"CL VALDEAMOR, 20 C/V CARRACHEL",40.59781,-3.50217
2700,FB_0388DB,Algete,MADRID,28120,"AV. GUADALIX, 37 L-9",40.62945,-3.58298
2701,FB_02A134,Algete,MADRID,28120,"AVDA GUADALIX, 35 LOCAL 4",40.6286,-3.58299
2702,FB_03939A,Almoguera,GUADALAJARA,19115,"AV CASTILLA LA MANCHA, 32",40.29691,-2.98391
2703,FB_028FF9,Almorox,TOLEDO,45900,"CL SAN ROQUE, 2",40.23279,-4.39021
2704,FB_039809,Alovera,GUADALAJARA,19208,"CL RONDA DEL NORTE, 21",40.60548,-3.25346
2705,FB_03591F,Alpedrete,MADRID,28430,"AV REINA VICTORIA, 24",40.63838,-4.02393
2706,FB_037155,Alpedrete,MADRID,28430,"CL COLLADO MEDIANO, 7",40.66002,-4.02408
2707,FB_038E50,Anchuelo,MADRID,28818,"CL ANTONIO GONZALEZ, 33",40.47104,-3.23337
2708,FB_028FFC,Añover de Tajo,TOLEDO,45250,"CL ESPARTEROS, 6",39.98753,-3.76545
2709,FB_028FFB,Añover de Tajo,TOLEDO,45250,"CL MANUEL ESCRIBANO, 6",39.98875,-3.76692
2710,FB_0289EE,Aranjuez,MADRID,28300,"CL FOSO, 31",40.03151,-3.59818
2711,FB_0289EF,Aranjuez,MADRID,28300,"CL POSTAS, 27",40.03186,-3.60459
2712,FB_035582,Aranjuez,MADRID,28300,"CL MORERAS, 3",40.03559,-3.59745
2713,FB_0351D2,Aranjuez,MADRID,28300,"AV PLAZA TOROS, 61",40.02805,-3.59907
2714,FB_034C7D,Aranjuez,MADRID,28300,"CL ABASTOS, 70",40.03186,-3.60272
2715,FB_03574D,Aranjuez,MADRID,28300,"AVDA PLAZA DE TOROS, 1",40.02795,-3.60547
2716,FB_0351D4,Aranjuez,MADRID,28300,"CL VALERAS, 23",40.03041,-3.60883
2717,FB_03719E,Aranjuez,MADRID,28300,"CL INFANTAS, 78 LOCAL 5 DE LA CL FO",40.03167,-3.59364
2718,FB_037A52,Aranjuez,MADRID,28300,"PS DEL DELEITE, 40",40.0252,-3.61542
2719,FB_038995,Aranjuez,MADRID,28300,CL FOSO CL ALMANSA,40.03385,-3.59787
2720,FB_038C7D,Aranjuez,MADRID,28300,"CL ALMIBAR, 124",40.02996,-3.60318
2721,FB_0289EC,Aranjuez,MADRID,28300,"CL ALMIBAR, 45",40.03347,-3.6027
2722,FB_0390FC,Aranjuez,MADRID,28300,"CL FLORIDA, 8",40.03378,-3.60623
2723,FB_039271,Aranjuez,MADRID,28300,AV DE LOYOLA 19 (LOCAL),40.02808,-3.61543
2724,FB_02A936,Aranjuez,MADRID,28300,"CL DE ABASTOS, 188",40.03662,-3.59754
2725,FB_039436,Aranjuez,MADRID,28300,"CL ABASTOS, 28",40.03197,-3.60566
2726,FB_029D65,Aranjuez,MADRID,28300,"CL PRIMERO DE MAYO, 1 - L-F",40.03272,-3.59268
2727,FB_038ED9,Arcicóllar,TOLEDO,45182,"CL CERVANTES, 22",40.05605,-4.11713
2728,FB_036148,Arganda del Rey,MADRID,28500,"PL CONSTITUCION, 6",40.30095,-3.4381
2729,FB_035555,Arganda del Rey,MADRID,28500,"AV DEL EJERCITO, 38",40.30279,-3.44764
2730,FB_035556,Arganda del Rey,MADRID,28500,"CR LOECHES, 5",40.30363,-3.44394
2731,FB_03434B,Arganda del Rey,MADRID,28500,"CL MISERICORDIA, 9 L-2",40.30319,-3.44542
